img_distorted,img_num,codec,dlevel,distortion,PSNR-Y,SSIM,MS-SSIM,IW-SSIM,VMAF-neg,SSIMULACRA2,HDR-VDP-2 Q,HDR-VDP-3 Q,CVVDP,PSNR-Y mapped,SSIM mapped,MS-SSIM mapped,IW-SSIM mapped,SSIMULACRA2 mapped,VMAF-neg mapped,HDR-VDP-2 Q mapped,HDR-VDP-3 Q mapped,CVVDP mapped
PTC_00009_AVIF_01.png,9,1,1,0.0050889392537286,51.027668,0.995859677067043,0.999310292453442,0.999215106647297,94.962926,91.24500792,64.8291120266007,9.99747241136686,9.9675,5.75069915017524E-22,0.16502529200305300,0.19463881317842800,0.22440145425433400,0.1527654372511760,0.3866773028326830,0.311606664841771,0.4005255405310060,0.09914400946221790
PTC_00009_AVIF_02.png,9,1,2,0.192038537178523,46.922253,0.987223190303976,0.997890422201296,0.997936456924726,93.518371,86.75070473,58.7895044063226,9.99278872367151,9.888,0.3015808188373490,0.4814157325465490,0.5004512482140380,0.4798580855064500,0.5040252175461550,0.794514477476045,0.6979573921846860,0.7844281817115990,0.3471814632837030
PTC_00009_AVIF_03.png,9,1,3,0.446163553653322,45.139744,0.980830415702392,0.996684633759351,0.996805597920587,92.426797,83.7680578,56.2567694251418,9.9884807891702,9.8098,0.5758330466703400,0.7078143843933190,0.7331766912047410,0.6765999675347420,0.7273370447510540,1.0734313488702300,0.9271916792552610,1.0591843082465900,0.5936440201406290
PTC_00009_AVIF_04.png,9,1,4,0.883038606712284,43.26653,0.97138029786815,0.994746451116686,0.994807194391766,90.976326,79.61468179,53.4384660230355,9.98003971779259,9.6881,0.9135186697563880,1.0358271861004600,1.0816432928385500,0.991400535440068,1.0312900953837500,1.4219959756420400,1.236633518196890,1.5067602665971200,0.9797413673756490
PTC_00009_AVIF_05.png,9,1,5,0.993184023193175,42.908752,0.969151989071541,0.994258531820186,0.994340604738646,90.569646,78.68717881,52.639067131564,9.97783847296224,9.6636,0.9829818424741180,1.112306948887300,1.1659090316549000,1.0607944374064600,1.0983221281286900,1.5163561770954700,1.335631232673870,1.6112906948682100,1.0577356807496000
PTC_00009_AVIF_06.png,9,1,6,1.4646773460072,41.583512,0.959821922649431,0.99201576123482,0.991740696744526,88.736857,74.13391055,49.5366868674839,9.96645783566938,9.5365,1.2527893561897900,1.4297512600472900,1.540408814557350,1.427970569939510,1.4239058862058900,1.927710814492830,1.7705049309832300,2.101729625649930,1.4634323918807500
PTC_00009_AVIF_07.png,9,1,7,1.79051892655992,40.83653,0.95353843836176,0.990523330965711,0.990070203377324,87.418387,71.55836952,48.1196516123449,9.95902272458972,9.4566,1.413041619907880,1.6414077515858300,1.780332579567630,1.6505174339955400,1.6059021665086800,2.2122535023703700,1.9974977606245400,2.3896088836268400,1.7192404338985400
PTC_00009_AVIF_08.png,9,1,8,2.01507029596536,40.320314,0.948357272390679,0.989200392960465,0.988453059314902,86.308797,69.32905981,46.8171918153031,9.95121801912278,9.3868,1.5270321053741200,1.8148505314907000,1.9881095011502700,1.8584165496184200,1.7623678753387200,2.4458025443006100,2.222765542208790,2.6722247266620600,1.943114868399030
PTC_00009_AVIF_09.png,9,1,9,2.20112549559836,39.929004,0.944284775060223,0.988053772273014,0.987108703882772,85.535183,67.38559908,45.9681858737292,9.94482814312552,9.3287,1.6151480538797700,1.950566568305340,2.164999850951490,2.026520856716420,1.8980469163125500,2.605856941800190,2.378480254715340,2.89166592508766,2.129716876192310
PTC_00009_AVIF_10.png,9,1,10,2.5348617033156,39.240411,0.935978012478085,0.985693666683719,0.983954818207867,83.905148,63.49698329,45.0467583909716,9.93019646765916,9.213,1.773671080380250,2.2258944328442100,2.521137674817490,2.407057646912080,2.1677155631167300,2.936570081350770,2.5556337846847000,3.3623947723149400,2.501922553123440
PTC_00009_JPEG-1_01.png,9,2,1,0.0091748587419397,47.535803,0.990908973204853,0.999108454146723,0.999247651486937,94.574855,91.86747351,71.6309809395915,9.99819933198198,9.9826,0.2201489353207730,0.34840619660514,0.24176675454321500,0.21705237069924800,0.10121016265685300,0.5026778313511270,0.08782983106505700,0.32225903414684000,0.05265263996222140
PTC_00009_JPEG-1_02.png,9,2,2,0.232432273898682,42.890299,0.973032809529674,0.996631875662516,0.997277181691916,92.427946,85.46497401,60.7058224570819,9.99144669121325,9.9008,0.9866048238419870,0.9789188214396810,0.743019975109392,0.5967415224497700,0.6009322916589480,1.0731464473260900,0.5524706603800070,0.8751391612413050,0.30702089617807600
PTC_00009_JPEG-1_03.png,9,2,3,0.557918279338296,41.188725,0.96030061776939,0.994323996950626,0.995182285719284,90.764081,80.51787527,55.9856365770547,9.98333730165041,9.7887,1.3367791824744800,1.4135618447764500,1.1546695783750000,0.934645059452228,0.9657462297891920,1.4714021559047300,0.9543848145110800,1.34203449079333,0.6603991279887590
PTC_00009_JPEG-1_04.png,9,2,4,0.906840358795019,40.067614,0.949071764519071,0.991966124362837,0.992808596526748,89.255324,76.01189159,52.1836568831438,9.97348604625477,9.6608,1.5837697922504400,1.790986107271110,1.5484942818195400,1.28067750742702,1.2902668881517600,1.813406873313890,1.3943528757857800,1.8076068019592500,1.0666541038048900
PTC_00009_JPEG-1_05.png,9,2,5,1.19928592999993,39.316565,0.939942839004577,0.989766180932059,0.990382730650809,87.774789,71.73315354,49.8591782008855,9.96304653593957,9.5389,1.7559262580791900,2.0947178591178300,1.8997622462854800,1.609532156965020,1.5935947233962900,2.1361420047732800,1.7214010012499700,2.236384987108510,1.455756919256470
PTC_00009_JPEG-1_06.png,9,2,6,1.37382461377815,38.860793,0.933818967505428,0.988207265228099,0.988719516923136,86.882145,69.11674207,48.6696463370317,9.95586366001138,9.4615,1.862902310184940,2.297154629701340,2.141478721941640,1.824612626174540,1.7772220638290800,2.3257423194261000,1.9071966396642600,2.5061453147765900,1.703537775606660
PTC_00009_JPEG-1_07.png,9,2,7,1.55421631157342,38.42695,0.927420411928556,0.986714120075931,0.986934370836491,85.854576,66.71629582,47.0692817858785,9.94772200944986,9.3819,1.9664367236887600,2.507675385807080,2.3683684757691000,2.0480384056698600,1.944627622662930,2.5400365902574000,2.1778921135317600,2.7934817688558900,1.9588438407811500
PTC_00009_JPEG-1_08.png,9,2,8,1.70431313658656,38.06377,0.921666888073112,0.985119052112942,0.985062267414448,85.22101,64.07061891,45.9949609815544,9.93925874219641,9.2993,2.054359545185820,2.6961813771859400,2.6064116163485800,2.2754344512699400,2.1280763081777400,2.6702600784082200,2.3734603698967,3.07557868633508,2.2242228895089000
PTC_00009_JPEG-1_09.png,9,2,9,1.8209571503693,37.800144,0.917467278427967,0.983872622342367,0.983501677358605,84.460199,62.06501118,45.4565569727639,9.93221828016964,9.2378,2.1188832575671100,2.8333368757439800,2.789660660627870,2.460349457936310,2.2664675289538200,2.8248869868600000,2.475784568571460,3.299623866777530,2.422077717043550
PTC_00009_JPEG-1_10.png,9,2,10,1.93263205391473,37.561401,0.913069050135474,0.98259245265124,0.981832365236175,83.670567,59.96809381,44.8194736616732,9.92479195320193,9.1765,2.177819229434720,2.97660637786532,2.9755936951241900,2.6540544438421800,2.410584320474180,2.983499811810170,2.6006608826880500,3.527067992174760,2.6194951014970100
